"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2016 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Barrie,2.6,a ,5.0,b ,"1,132",a ,"1,125",a ,3.7,b ,"4,026",
Belleville,3.3,b ,5.5,a ,922,a ,915,a ,2.3,b ,"5,897",
Bracebridge (T),1.7,c ,2.1,c ,912,a ,889,a ,1.8,b ,297,
Brantford,2.2,a ,3.3,b ,928,a ,899,a ,3.3,d ,"5,489",
Brighton (MU),3.0,c ,3.6,c ,786,a ,781,a ,++,,184,
Brock (TP),0.0,d ,0.0,d ,863,a ,850,b ,12.0,a ,102,
Brockville,3.7,c ,5.1,c ,822,a ,817,a ,2.7,c ,"2,150",
Centre Wellington,0.5,b ,0.8,a ,934,a ,925,a ,3.1,c ,783,
Chatham-Kent,3.2,b ,5.3,a ,714,a ,700,a ,2.6,a ,"4,971",
Cobourg,0.4,a ,2.2,b ,968,a ,950,a ,3.2,d ,"1,082",
Collingwood,1.3,a ,2.3,c ,918,a ,905,a ,2.2,b ,546,
Cornwall,3.9,b ,5.2,b ,732,a ,724,a ,1.6,b ,"3,942",
Elliot Lake,13.8,a ,16.7,a ,595,a ,578,a ,0.9,a ,"1,372",
Erin (T),**,,**,,**,,**,,**,,11,
Essex (T),3.3,b ,4.1,c ,741,a ,700,b ,2.1,c ,267,
Gravenhurst (T),1.6,b ,2.5,b ,875,a ,830,a ,-1.2,a ,260,
Greater Napanee (T),0.4,b ,0.8,d ,835,a ,820,a ,++,,594,
Greater Sudbury/Grand Sudbury,5.3,a ,6.2,a ,911,a ,900,a ,2.0,c ,"12,766",
Guelph,0.9,a ,1.9,a ,"1,055",a ,"1,028",a ,3.8,b ,"7,326",
Haldimand County (CY),1.9,c ,2.9,c ,756,a ,750,a ,2.4,a ,462,
Hamilton,3.6,a ,5.7,a ,982,a ,935,a ,5.0,b ,"45,458",
Hawkesbury,8.0,c ,8.4,c ,673,a ,650,a ,1.4,d ,708,
Huntsville (T),1.8,c ,3.1,d ,942,a ,940,a ,++,,374,
Ingersoll,1.5,a ,3.1,b ,784,a ,790,a ,2.8,a ,262,
Kawartha Lakes,0.3,b ,1.4,a ,996,b ,"1,000",b ,5.3,c ,"1,487",
Kenora,3.1,d ,3.1,d ,731,b ,700,c ,-2.6,c ,379,
Kincardine (MU),2.8,c ,3.9,d ,890,a ,890,a ,**,,232,
Kingston,2.7,a ,4.3,a ,"1,083",a ,975,a ,2.2,a ,"13,831",
Kitchener-Cambridge-Waterloo,2.3,a ,4.1,a ,"1,011",a ,954,a ,2.9,a ,"33,746",
Lambton Shores (MU),0.9,d ,2.3,c ,863,a ,805,a ,1.2,a ,136,
Leamington,2.6,b ,3.6,c ,784,a ,776,a ,1.3,a ,"1,216",
London,2.1,a ,4.2,a ,925,a ,853,a ,1.8,a ,"47,349",
Meaford (MU),1.1,d ,5.9,b ,796,b ,807,b ,++,,248,
Midland,**,,**,,828,a ,835,a ,2.2,a ,"1,062",
Mississippi Mills (T),**,,**,,**,,**,,**,,87,
Norfolk,2.5,c ,3.7,c ,671,a ,650,a ,1.2,a ,906,
North Bay,5.8,c ,7.4,b ,870,a ,860,a ,2.5,c ,"3,441",
North Grenville (MU),**,,**,,**,,**,,**,,72,
North Perth (MU),6.6,b ,6.9,b ,736,a ,750,a ,**,,407,
Orillia,2.2,c ,3.3,d ,927,a ,925,a ,4.7,c ,"1,791",
Oshawa,1.7,a ,2.4,a ,"1,085",a ,"1,024",a ,4.5,d ,"12,515",
Ottawa,3.1,a ,4.7,a ,"1,097",a ,"1,037",a ,2.1,a ,"68,843",
Owen Sound,2.7,b ,4.5,b ,816,a ,809,a ,2.6,a ,"1,779",
Pembroke,2.8,c ,2.8,c ,763,a ,775,a ,++,,952,
Petawawa,1.4,a ,1.8,c ,706,a ,690,a ,++,,362,
Peterborough,1.2,a ,2.4,a ,934,a ,925,a ,1.5,b ,"6,378",
Port Hope,0.5,a ,2.0,c ,"1,064",b ,"1,000",b ,++,,572,
Prince Edward County (CY),2.6,a ,3.5,a ,874,a ,850,a ,6.6,b ,467,
Sarnia,3.9,b ,5.6,b ,910,a ,845,a ,3.8,c ,"6,374",
Saugeen Shores (T),5.9,b ,6.8,b ,856,a ,850,a ,++,,473,
Sault Ste. Marie,3.0,b ,3.8,b ,817,a ,800,a ,3.7,d ,"4,973",
Scugog (TP),0.0,d ,2.1,c ,"1,027",a ,"1,000",c ,1.0,a ,144,
St. Catharines-Niagara,2.2,a ,3.5,a ,906,a ,895,a ,4.3,b ,"16,631",
Stratford,3.3,a ,4.7,a ,822,a ,800,a ,4.0,b ,"2,024",
Temiskaming Shores,**,,**,,688,a ,700,a ,-1.1,d ,365,
The Nation / La Nation (M),**,,**,,638,a ,630,b ,0.9,a ,81,
Thunder Bay,5.2,a ,5.6,a ,883,a ,855,a ,1.6,c ,"5,724",
Tillsonburg,3.2,c ,4.7,b ,762,a ,760,a ,**,,887,
Timmins,6.8,c ,6.9,c ,907,a ,900,a ,4.5,d ,"1,767",
Toronto,1.4,a ,2.9,a ,"1,240",a ,"1,192",a ,3.1,a ,"316,913",
Trent Hills (MU),**,,**,,**,,**,,**,,17,
Wasaga Beach (T),**,,**,,**,,**,,**,,5,
West Grey (MU),0.0,d ,3.8,d ,712,b ,700,c ,-3.8,c ,149,
West Nipissing (M),2.4,c ,2.4,c ,719,a ,700,a ,++,,425,
Windsor,2.8,a ,3.9,b ,761,a ,750,a ,2.7,a ,"15,715",
Woodstock,0.8,a ,2.0,b ,"1,028",a ,910,a ,2.8,b ,"2,583",
Ontario,2.2,a ,3.7,a ,"1,095",a ,"1,040",a ,3.0,a ,"672,837",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
