,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,Total 65+,Total,
"Barrie,""35,230"",""26,355"",""24,775"",""26,090"",""30,845"",""24,925"",""26,225"",""194,450"","
"Bracebridge T,""2,185"",""1,670"",""1,585"",""1,530"",""2,265"",""2,650"",""3,690"",""15,565"","
"Brantford,""23,570"",""16,080"",""15,945"",""16,455"",""18,855"",""18,895"",""21,840"",""131,640"","
"Brighton MU,""1,480"",""1,030"",900,""1,015"",""1,490"",""1,955"",""3,285"",""11,160"","
"Brock TP,""1,875"",""1,275"",""1,235"",""1,220"",""1,745"",""1,815"",""2,200"",""11,360"","
"Brockville,""5,140"",""4,210"",""3,730"",""3,915"",""5,520"",""6,365"",""8,850"",""37,735"","
"Centre Wellington,""4,895"",""3,255"",""2,905"",""3,290"",""3,955"",""4,080"",""5,250"",""27,635"","
"Chatham-Kent,""16,720"",""11,605"",""10,580"",""10,850"",""14,220"",""16,070"",""19,730"",""99,775"","
"Cobourg,""2,435"",""1,890"",""1,615"",""1,825"",""2,360"",""3,125"",""5,475"",""18,720"","
"Collingwood,""3,120"",""2,075"",""2,285"",""2,365"",""2,645"",""3,430"",""5,225"",""21,145"","
"Cornwall,""9,315"",""6,695"",""6,425"",""6,240"",""8,015"",""9,265"",""12,180"",""58,130"","
"Elliot Lake,""1,110"",755,785,785,""1,205"",""2,010"",""3,930"",""10,585"","
"Erin T,""1,745"",""1,540"",910,""1,290"",""2,265"",""1,935"",""1,720"",""11,405"","
"Gravenhurst T,""1,405"",965,""1,100"",""1,070"",""1,550"",""2,050"",""2,950"",""11,095"","
"Greater Napanee T,""2,330"",""1,590"",""1,505"",""1,680"",""2,175"",""2,595"",""3,485"",""15,360"","
"Greater Sudbury / Grand Sudbury,""25,535"",""19,825"",""19,960"",""20,120"",""24,275"",""23,985"",""28,120"",""161,815"","
"Guelph,""25,755"",""20,590"",""20,720"",""19,900"",""22,090"",""19,345"",""21,630"",""150,025"","
"Haldimand County CY,""7,705"",""5,640"",""4,765"",""4,890"",""6,825"",""7,390"",""7,815"",""45,025"","
"Hamilton,""122,250"",""92,420"",""92,715"",""92,900"",""109,350"",""100,925"",""124,330"",""734,880"","
"Hawkesbury,""1,575"",""1,160"",""1,085"",""1,155"",""1,680"",""2,065"",""2,800"",""11,530"","
"Huntsville T,""2,830"",""2,090"",""2,095"",""2,125"",""2,875"",""3,320"",""4,040"",""19,375"","
"Ingersoll,""2,335"",""1,570"",""1,530"",""1,580"",""1,935"",""1,770"",""1,865"",""12,580"","
"Kawartha Lakes,""9,865"",""7,740"",""6,890"",""6,985"",""10,505"",""13,470"",""17,925"",""73,375"","
"Kenora,""2,415"",""1,740"",""1,685"",""1,675"",""2,130"",""2,420"",""2,725"",""14,790"","
"Kincardine MU,""1,845"",""1,105"",""1,370"",""1,225"",""1,350"",""1,955"",""2,315"",""11,165"","
"Kingston,""23,885"",""20,030"",""20,465"",""18,135"",""22,320"",""22,610"",""29,015"",""156,465"","
"Kitchener - Cambridge - Waterloo,""92,220"",""71,380"",""72,690"",""69,155"",""75,650"",""64,840"",""70,150"",""516,080"","
"Lambton Shores MU,""1,305"",895,830,930,""1,370"",""2,110"",""2,940"",""10,385"","
"London,""81,050"",""65,325"",""65,220"",""60,025"",""69,320"",""66,380"",""79,180"",""486,505"","
"Meaford MU,""1,415"",995,925,""1,040"",""1,450"",""2,040"",""2,980"",""10,845"","
"Midland,""4,775"",""3,515"",""3,690"",""3,585"",""5,055"",""6,160"",""7,865"",""34,660"","
"Norfolk,""9,695"",""7,100"",""6,220"",""6,260"",""8,705"",""10,840"",""13,610"",""62,430"","
"North Bay,""10,490"",""8,110"",""8,260"",""7,780"",""10,290"",""10,755"",""13,035"",""68,710"","
"North Perth MU,""2,670"",""1,670"",""1,610"",""1,490"",""1,595"",""1,730"",""2,170"",""12,940"","
"Orillia,""4,390"",""3,585"",""3,710"",""3,075"",""4,090"",""4,630"",""6,475"",""29,955"","
"Oshawa,""69,145"",""49,175"",""45,865"",""50,930"",""59,180"",""48,685"",""52,625"",""375,605"","
"Ottawa,""155,440"",""124,855"",""124,525"",""121,380"",""137,975"",""120,330"",""132,355"",""916,855"","
"Owen Sound,""4,525"",""3,440"",""3,335"",""3,140"",""4,265"",""5,230"",""6,845"",""30,775"","
"Pembroke,""3,470"",""2,530"",""2,810"",""2,470"",""3,245"",""3,495"",""4,415"",""22,435"","
"Petawawa,""3,800"",""1,835"",""3,790"",""2,220"",""2,025"",""1,250"",""1,400"",""16,320"","
"Peterborough,""17,795"",""14,805"",""14,330"",""12,715"",""15,765"",""18,580"",""24,795"",""118,775"","
"Port Hope,""2,175"",""1,730"",""1,635"",""1,655"",""2,420"",""2,840"",""3,825"",""16,280"","
"Prince Edward County CY,""2,830"",""2,135"",""1,890"",""2,185"",""3,400"",""4,655"",""7,010"",""24,105"","
"Sarnia,""14,705"",""11,045"",""11,085"",""10,370"",""12,695"",""15,550"",""19,440"",""94,885"","
"Saugeen Shores T,""1,970"",""1,205"",""1,645"",""1,390"",""1,595"",""2,475"",""3,150"",""13,425"","
"Sault Ste. Marie,""11,280"",""8,840"",""8,810"",""8,385"",""10,780"",""12,555"",""16,015"",""76,670"","
"Scugog TP,""3,135"",""2,580"",""1,990"",""2,210"",""3,360"",""3,710"",""4,265"",""21,250"","
"St. Catharines - Niagara,""58,980"",""48,645"",""44,325"",""44,430"",""57,625"",""60,970"",""81,890"",""396,865"","
"Stratford,""4,645"",""3,600"",""3,540"",""3,645"",""4,380"",""4,935"",""5,875"",""30,625"","
"The Nation / La Nation M,""2,410"",""1,450"",""1,775"",""1,710"",""2,055"",""1,740"",""1,410"",""12,545"","
"Thunder Bay,""17,735"",""14,865"",""14,580"",""13,480"",""17,115"",""18,910"",""22,190"",""118,875"","
"Tillsonburg,""2,340"",""1,630"",""1,595"",""1,690"",""1,995"",""2,170"",""4,170"",""15,595"","
"Timmins,""7,125"",""5,130"",""5,240"",""5,265"",""6,165"",""6,350"",""5,950"",""41,230"","
"Toronto,""983,755"",""774,945"",""840,770"",""817,135"",""896,025"",""734,760"",""815,455"",""5,862,855"","
"Trent Hills MU,""1,720"",""1,080"",""1,080"",""1,155"",""1,735"",""2,485"",""3,355"",""12,605"","
"West Grey MU,""1,885"",""1,290"",""1,095"",""1,215"",""1,835"",""2,165"",""2,755"",""12,240"","
"West Nipissing / Nipissing Ouest M,""2,155"",""1,360"",""1,300"",""1,530"",""2,055"",""2,465"",""3,170"",""14,035"","
"Windsor,""54,965"",""43,860"",""37,580"",""40,465"",""49,020"",""45,535"",""53,575"",""325,005"","
"Woodstock,""6,840"",""4,625"",""5,375"",""5,115"",""5,575"",""5,385"",""7,065"",""39,980"","
"Ontario,""2,203,720"",""1,695,800"",""1,727,995"",""1,703,455"",""1,979,110"",""1,818,565"",""2,113,520"",""13,242,160"","
